layer,head,accuracy
0,0,0.49557522123893805
0,1,0.49798873692679
0,2,0.502815768302494
0,3,0.49798873692679
0,4,0.5132743362831859
0,5,0.4883346741753821
0,6,0.49316170555108607
0,7,0.49477071600965405
0,8,0.4746580852775543
0,9,0.4569589702333065
0,10,0.47144006436041835
0,11,0.49477071600965405
0,12,0.4915526950925181
0,13,0.499597747385358
0,14,0.4915526950925181
0,15,0.4907481898632341
1,0,0.502815768302494
1,1,0.49396621078037006
1,2,0.48109412711182625
1,3,0.49316170555108607
1,4,0.4883346741753821
1,5,0.5060337892196299
1,6,0.49798873692679
1,7,0.48511665325824616
1,8,0.499597747385358
1,9,0.5156878519710378
1,10,0.49637972646822204
1,11,0.47948511665325827
1,12,0.5358004827031375
1,13,0.5140788415124699
1,14,0.498793242156074
1,15,0.48511665325824616
2,0,0.49316170555108607
2,1,0.49477071600965405
2,2,0.4891391794046661
2,3,0.5108608205953339
2,4,0.47063555913113436
2,5,0.48672566371681414
2,6,0.503620273531778
2,7,0.5076427996781979
2,8,0.503620273531778
2,9,0.4561544650040225
2,10,0.5132743362831859
2,11,0.4770716009654063
2,12,0.49477071600965405
2,13,0.49316170555108607
2,14,0.5181013676588898
2,15,0.504424778761062
3,0,0.501206757843926
3,1,0.4835076427996782
3,2,0.500402252614642
3,3,0.5213193885760258
3,4,0.4915526950925181
3,5,0.5116653258246179
3,6,0.4827031375703942
3,7,0.48189863234111024
3,8,0.49718423169750603
3,9,0.5108608205953339
3,10,0.5092518101367659
3,11,0.5366049879324215
3,12,0.498793242156074
3,13,0.5100563153660499
3,14,0.5261464199517297
3,15,0.502815768302494
4,0,0.5140788415124699
4,1,0.5092518101367659
4,2,0.5534995977473853
4,3,0.5269509251810137
4,4,0.5526950925181013
4,5,0.5132743362831859
4,6,0.5382139983909895
4,7,0.48592115848753015
4,8,0.499597747385358
4,9,0.5309734513274337
4,10,0.5486725663716814
4,11,0.4891391794046661
4,12,0.505229283990346
4,13,0.500402252614642
4,14,0.5060337892196299
4,15,0.5060337892196299
5,0,0.5108608205953339
5,1,0.5213193885760258
5,2,0.5100563153660499
5,3,0.5156878519710378
5,4,0.5269509251810137
5,5,0.5181013676588898
5,6,0.5293644408688657
5,7,0.5245374094931617
5,8,0.5068382944489139
5,9,0.5261464199517297
5,10,0.4883346741753821
5,11,0.5269509251810137
5,12,0.5366049879324215
5,13,0.5245374094931617
5,14,0.5237329042638778
5,15,0.5229283990345938
6,0,0.5374094931617055
6,1,0.5181013676588898
6,2,0.5237329042638778
6,3,0.4907481898632341
6,4,0.5253419147224457
6,5,0.5293644408688657
6,6,0.5591311343523733
6,7,0.5124698310539019
6,8,0.5164923572003218
6,9,0.5494770716009654
6,10,0.5430410297666934
6,11,0.5502815768302494
6,12,0.5172968624296058
6,13,0.5277554304102977
6,14,0.5309734513274337
6,15,0.5382139983909895
7,0,0.4915526950925181
7,1,0.5100563153660499
7,2,0.5189058728881738
7,3,0.49718423169750603
7,4,0.5583266291230893
7,5,0.5116653258246179
7,6,0.5518905872888173
7,7,0.5486725663716814
7,8,0.5502815768302494
7,9,0.5470635559131134
7,10,0.5181013676588898
7,11,0.5148833467417538
7,12,0.5277554304102977
7,13,0.5905068382944489
7,14,0.5776347546259051
7,15,0.5309734513274337
8,0,0.5663716814159292
8,1,0.5470635559131134
8,2,0.5695897023330652
8,3,0.5623491552695092
8,4,0.5760257441673371
8,5,0.5567176186645213
8,6,0.5414320193081255
8,7,0.5551086082059533
8,8,0.5156878519710378
8,9,0.5382139983909895
8,10,0.5784392598551891
8,11,0.6210780370072405
8,12,0.5108608205953339
8,13,0.5253419147224457
8,14,0.5623491552695092
8,15,0.6098149637972646
9,0,0.5333869670152857
9,1,0.5671761866452132
9,2,0.5293644408688657
9,3,0.5575221238938053
9,4,0.6130329847144006
9,5,0.584875301689461
9,6,0.5671761866452132
9,7,0.5422365245374094
9,8,0.5776347546259051
9,9,0.5969428801287209
9,10,0.5551086082059533
9,11,0.5615446500402252
9,12,0.5438455349959774
9,13,0.5269509251810137
9,14,0.588093322606597
9,15,0.5551086082059533
10,0,0.5905068382944489
10,1,0.6162510056315366
10,2,0.5663716814159292
10,3,0.5969428801287209
10,4,0.6106194690265486
10,5,0.5977473853580049
10,6,0.6041834271922768
10,7,0.5591311343523733
10,8,0.5977473853580049
10,9,0.585679806918745
10,10,0.6017699115044248
10,11,0.5559131134352373
10,12,0.6033789219629928
10,13,0.6057924376508448
10,14,0.5591311343523733
10,15,0.586484312148029
11,0,0.6411906677393403
11,1,0.5792437650844731
11,2,0.5518905872888173
11,3,0.5663716814159292
11,4,0.5663716814159292
11,5,0.5993563958165729
11,6,0.5663716814159292
11,7,0.5478680611423974
11,8,0.5567176186645213
11,9,0.5446500402252614
11,10,0.5953338696701529
11,11,0.6074014481094127
11,12,0.6074014481094127
11,13,0.5502815768302494
11,14,0.5438455349959774
11,15,0.586484312148029
12,0,0.5526950925181013
12,1,0.5993563958165729
12,2,0.5768302493966211
12,3,0.5301689460981497
12,4,0.6379726468222043
12,5,0.6082059533386966
12,6,0.5921158487530169
12,7,0.5784392598551891
12,8,0.6347546259050684
12,9,0.586484312148029
12,10,0.5736122284794851
12,11,0.5494770716009654
12,12,0.5905068382944489
12,13,0.674979887369268
12,14,0.5985518905872889
12,15,0.5695897023330652
13,0,0.674979887369268
13,1,0.6540627514078842
13,2,0.6090104585679806
13,3,0.6395816572807723
13,4,0.6186645213193885
13,5,0.5518905872888173
13,6,0.6492357200321802
13,7,0.589702333065165
13,8,0.5993563958165729
13,9,0.6556717618664522
13,10,0.6074014481094127
13,11,0.6613032984714401
13,12,0.6500402252614642
13,13,0.670152855993564
13,14,0.6259050683829445
13,15,0.6484312148028962
14,0,0.6733708769107
14,1,0.5921158487530169
14,2,0.6983105390185036
14,3,0.667739340305712
14,4,0.6234915526950925
14,5,0.6379726468222043
14,6,0.6307320997586484
14,7,0.670957361222848
14,8,0.6468222043443282
