layer,head,accuracy
0,0,0.49316170555108607
0,1,0.5140788415124699
0,2,0.5100563153660499
0,3,0.498793242156074
0,4,0.5076427996781979
0,5,0.5164923572003218
0,6,0.5092518101367659
0,7,0.49316170555108607
0,8,0.46419951729686243
0,9,0.46178600160901045
0,10,0.4923572003218021
0,11,0.4923572003218021
0,12,0.4778761061946903
0,13,0.4907481898632341
0,14,0.4835076427996782
0,15,0.503620273531778
1,0,0.48431214802896216
1,1,0.50201126307321
1,2,0.5156878519710378
1,3,0.48431214802896216
1,4,0.49637972646822204
1,5,0.5221238938053098
1,6,0.503620273531778
1,7,0.5100563153660499
1,8,0.48431214802896216
1,9,0.4923572003218021
1,10,0.505229283990346
1,11,0.48592115848753015
1,12,0.49316170555108607
1,13,0.4899436846339501
1,14,0.5076427996781979
1,15,0.4907481898632341
2,0,0.49637972646822204
2,1,0.49637972646822204
2,2,0.501206757843926
2,3,0.4746580852775543
2,4,0.4827031375703942
2,5,0.49798873692679
2,6,0.5100563153660499
2,7,0.5132743362831859
2,8,0.4746580852775543
2,9,0.48109412711182625
2,10,0.5205148833467418
2,11,0.4907481898632341
2,12,0.5148833467417538
2,13,0.48592115848753015
2,14,0.4835076427996782
2,15,0.5068382944489139
3,0,0.4883346741753821
3,1,0.502815768302494
3,2,0.4907481898632341
3,3,0.5197103781174578
3,4,0.49798873692679
3,5,0.501206757843926
3,6,0.48511665325824616
3,7,0.48511665325824616
3,8,0.5060337892196299
3,9,0.501206757843926
3,10,0.5140788415124699
3,11,0.5237329042638778
3,12,0.5205148833467418
3,13,0.503620273531778
3,14,0.5076427996781979
3,15,0.5116653258246179
4,0,0.5132743362831859
4,1,0.5221238938053098
4,2,0.5213193885760258
4,3,0.5245374094931617
4,4,0.5349959774738536
4,5,0.5148833467417538
4,6,0.5325824617860017
4,7,0.5205148833467418
4,8,0.49477071600965405
4,9,0.5068382944489139
4,10,0.5317779565567177
4,11,0.5156878519710378
4,12,0.5213193885760258
4,13,0.503620273531778
4,14,0.4770716009654063
4,15,0.500402252614642
5,0,0.5567176186645213
5,1,0.5422365245374094
5,2,0.5205148833467418
5,3,0.48028962188254226
5,4,0.5197103781174578
5,5,0.5189058728881738
5,6,0.5253419147224457
5,7,0.5623491552695092
5,8,0.5309734513274337
5,9,0.5293644408688657
5,10,0.5229283990345938
5,11,0.5124698310539019
5,12,0.501206757843926
5,13,0.5172968624296058
5,14,0.5325824617860017
5,15,0.5446500402252614
6,0,0.5414320193081255
6,1,0.5414320193081255
6,2,0.5358004827031375
6,3,0.502815768302494
6,4,0.5116653258246179
6,5,0.5189058728881738
6,6,0.5430410297666934
6,7,0.5148833467417538
6,8,0.5406275140788415
6,9,0.5406275140788415
6,10,0.5478680611423974
6,11,0.5285599356395817
6,12,0.500402252614642
6,13,0.5229283990345938
6,14,0.49477071600965405
6,15,0.5317779565567177
7,0,0.5679806918744972
7,1,0.5736122284794851
7,2,0.5237329042638778
7,3,0.5317779565567177
7,4,0.5663716814159292
7,5,0.5197103781174578
7,6,0.6001609010458568
7,7,0.5776347546259051
7,8,0.5438455349959774
7,9,0.5189058728881738
7,10,0.6049879324215608
7,11,0.585679806918745
7,12,0.5567176186645213
7,13,0.5687851971037812
7,14,0.5559131134352373
7,15,0.5172968624296058
8,0,0.5607401448109413
8,1,0.5720032180209171
8,2,0.5358004827031375
8,3,0.5181013676588898
8,4,0.5430410297666934
8,5,0.5679806918744972
8,6,0.6041834271922768
8,7,0.5309734513274337
8,8,0.5325824617860017
8,9,0.5575221238938053
8,10,0.5575221238938053
8,11,0.586484312148029
8,12,0.5478680611423974
8,13,0.5213193885760258
8,14,0.586484312148029
8,15,0.6041834271922768
9,0,0.5197103781174578
9,1,0.5583266291230893
9,2,0.588897827835881
9,3,0.5720032180209171
9,4,0.6009654062751408
9,5,0.584875301689461
9,6,0.5390185036202735
9,7,0.5325824617860017
9,8,0.5752212389380531
9,9,0.587288817377313
9,10,0.5720032180209171
9,11,0.5462590506838294
9,12,0.5116653258246179
9,13,0.5510860820595334
9,14,0.5953338696701529
9,15,0.5776347546259051
10,0,0.5985518905872889
10,1,0.5969428801287209
10,2,0.5905068382944489
10,3,0.5768302493966211
10,4,0.6025744167337088
10,5,0.5567176186645213
10,6,0.5736122284794851
10,7,0.5591311343523733
10,8,0.5486725663716814
10,9,0.5679806918744972
10,10,0.5567176186645213
10,11,0.5752212389380531
10,12,0.6065969428801288
10,13,0.5776347546259051
10,14,0.580048270313757
10,15,0.582461786001609
11,0,0.6154465004022526
11,1,0.6001609010458568
11,2,0.6001609010458568
11,3,0.5961383748994369
11,4,0.5615446500402252
11,5,0.581657280772325
11,6,0.5945293644408689
11,7,0.5784392598551891
11,8,0.584070796460177
11,9,0.581657280772325
11,10,0.5768302493966211
11,11,0.6178600160901045
11,12,0.5913113435237329
11,13,0.5607401448109413
11,14,0.5744167337087691
11,15,0.6057924376508448
12,0,0.6178600160901045
12,1,0.6347546259050684
12,2,0.6194690265486725
12,3,0.6106194690265486
12,4,0.6283185840707964
12,5,0.6017699115044248
12,6,0.6194690265486725
12,7,0.6178600160901045
12,8,0.6178600160901045
12,9,0.6041834271922768
12,10,0.6572807723250201
12,11,0.6411906677393403
12,12,0.6299275945293644
12,13,0.6524537409493162
12,14,0.6339501206757844
12,15,0.6613032984714401
13,0,0.668543845534996
13,1,0.6508447304907482
13,2,0.6395816572807723
13,3,0.6596942880128721
13,4,0.6363636363636364
13,5,0.6347546259050684
13,6,0.6411906677393403
13,7,0.6065969428801288
13,8,0.6234915526950925
13,9,0.6733708769107
13,10,0.6516492357200322
13,11,0.66934835076428
13,12,0.6500402252614642
13,13,0.6532582461786002
13,14,0.6210780370072405
13,15,0.674175382139984
14,0,0.6355591311343524
14,1,0.6379726468222043
14,2,0.674979887369268
14,3,0.6822204344328238
14,4,0.6251005631536605
14,5,0.6444086886564763
14,6,0.6500402252614642
14,7,0.6596942880128721
14,8,0.6355591311343524
14,9,0.667739340305712
14,10,0.6484312148028962
14,11,0.6275140788415124
14,12,0.6355591311343524
14,13,0.66532582461786
14,14,0.6331456154465004
14,15,0.6323411102172164
15,0,0.6564762670957361
15,1,0.6830249396621078
15,2,0.6476267095736122
15,3,0.6411906677393403
15,4,0.6138374899436846
15,5,0.6226870474658085
15,6,0.6403861625100563
15,7,0.6098149637972646
15,8,0.6395816572807723
15,9,0.6299275945293644
15,10,0.6629123089300081
15,11,0.668543845534996
15,12,0.6460176991150443
15,13,0.6403861625100563
15,14,0.6355591311343524
15,15,0.6580852775543041
16,0,0.6355591311343524
16,1,0.6645213193885761
16,2,0.6790024135156878
16,3,0.6572807723250201
16,4,0.6773934030571199
16,5,0.6613032984714401
16,6,0.6629123089300081
16,7,0.6452131938857603
16,8,0.6613032984714401
16,9,0.6283185840707964
16,10,0.6323411102172164
16,11,0.6234915526950925
16,12,0.6765888978278359
16,13,0.6830249396621078
16,14,0.6476267095736122
16,15,0.6870474658085277
17,0,0.7015285599356396
17,1,0.6862429605792437
17,2,0.6757843925985519
17,3,0.6806114239742558
17,4,0.6862429605792437
17,5,0.6870474658085277
17,6,0.6234915526950925
17,7,0.6468222043443282
17,8,0.6532582461786002
17,9,0.6790024135156878
17,10,0.7047465808527755
17,11,0.6999195494770716
17,12,0.7047465808527755
17,13,0.6870474658085277
17,14,0.671761866452132
17,15,0.6781979082864039
18,0,0.6773934030571199
18,1,0.7055510860820595
18,2,0.674175382139984
18,3,0.6733708769107
18,4,0.66934835076428
18,5,0.671761866452132
18,6,0.6452131938857603
18,7,0.671761866452132
18,8,0.6765888978278359
18,9,0.6419951729686243
18,10,0.7031375703942075
18,11,0.6596942880128721
18,12,0.6363636363636364
18,13,0.674979887369268
18,14,0.674979887369268
18,15,0.6564762670957361
19,0,0.6814159292035398
19,1,0.674175382139984
19,2,0.6878519710378117
19,3,0.6870474658085277
19,4,0.6588897827835881
19,5,0.6588897827835881
19,6,0.6790024135156878
19,7,0.6468222043443282
19,8,0.6781979082864039
19,9,0.6613032984714401
19,10,0.6822204344328238
19,11,0.7007240547063556
19,12,0.666130329847144
19,13,0.670152855993564
19,14,0.6355591311343524
19,15,0.6234915526950925
20,0,0.7079646017699115
20,1,0.666130329847144
20,2,0.6870474658085277
20,3,0.6604987932421561
20,4,0.6604987932421561
20,5,0.6999195494770716
20,6,0.7095736122284795
20,7,0.6862429605792437
20,8,0.6878519710378117
20,9,0.6958970233306516
20,10,0.7007240547063556
20,11,0.6910699919549477
20,12,0.6967015285599356
20,13,0.66934835076428
20,14,0.668543845534996
20,15,0.6814159292035398
21,0,0.6934835076427996
21,1,0.6781979082864039
21,2,0.672566371681416
21,3,0.6516492357200322
21,4,0.672566371681416
21,5,0.6830249396621078
21,6,0.6958970233306516
21,7,0.6773934030571199
21,8,0.7111826226870475
21,9,0.6878519710378117
21,10,0.6878519710378117
21,11,0.6926790024135157
21,12,0.6532582461786002
21,13,0.666130329847144
21,14,0.7031375703942075
21,15,0.6604987932421561
22,0,0.6830249396621078
22,1,0.6508447304907482
22,2,0.6822204344328238
22,3,0.7023330651649236
22,4,0.674175382139984
22,5,0.6629123089300081
22,6,0.668543845534996
22,7,0.670152855993564
22,8,0.7039420756234915
22,9,0.6645213193885761
22,10,0.6798069187449718
22,11,0.674979887369268
22,12,0.6991150442477876
22,13,0.6958970233306516
22,14,0.7007240547063556
22,15,0.6508447304907482
23,0,0.7079646017699115
23,1,0.7144006436041834
23,2,0.6910699919549477
23,3,0.6975060337892196
23,4,0.6846339501206757
23,5,0.6886564762670957
23,6,0.6918744971842317
23,7,0.6621078037007241
23,8,0.6798069187449718
23,9,0.6886564762670957
23,10,0.6846339501206757
23,11,0.6878519710378117
23,12,0.670152855993564
23,13,0.6910699919549477
23,14,0.6991150442477876
23,15,0.6757843925985519
24,0,0.6830249396621078
24,1,0.6975060337892196
24,2,0.6886564762670957
24,3,0.7192276749798874
24,4,0.7015285599356396
24,5,0.6862429605792437
24,6,0.6983105390185036
24,7,0.6902654867256637
24,8,0.7152051488334674
24,9,0.7127916331456154
24,10,0.7184231697506034
24,11,0.7192276749798874
24,12,0.7095736122284795
24,13,0.7288817377312953
24,14,0.6838294448913917
24,15,0.6902654867256637
25,0,0.6757843925985519
25,1,0.6267095736122285
25,2,0.668543845534996
25,3,0.674979887369268
25,4,0.6918744971842317
25,5,0.6757843925985519
25,6,0.6870474658085277
25,7,0.6854384553499597
25,8,0.6781979082864039
25,9,0.6765888978278359
25,10,0.6773934030571199
25,11,0.7071600965406275
25,12,0.6902654867256637
25,13,0.6870474658085277
25,14,0.6532582461786002
25,15,0.674175382139984
26,0,0.6838294448913917
26,1,0.7015285599356396
26,2,0.66532582461786
26,3,0.6532582461786002
26,4,0.667739340305712
26,5,0.6637168141592921
26,6,0.6790024135156878
26,7,0.6991150442477876
26,8,0.6983105390185036
26,9,0.6806114239742558
26,10,0.7007240547063556
26,11,0.7240547063555913
26,12,0.6733708769107
26,13,0.6781979082864039
26,14,0.6870474658085277
26,15,0.6798069187449718
27,0,0.6902654867256637
27,1,0.670957361222848
27,2,0.6886564762670957
27,3,0.6926790024135157
27,4,0.6339501206757844
27,5,0.6645213193885761
27,6,0.66532582461786
27,7,0.666934835076428
27,8,0.6508447304907482
27,9,0.6460176991150443
27,10,0.666130329847144
27,11,0.6910699919549477
27,12,0.6846339501206757
27,13,0.6870474658085277
27,14,0.6886564762670957
27,15,0.666130329847144
28,0,0.6830249396621078
28,1,0.6733708769107
28,2,0.6484312148028962
28,3,0.6814159292035398
28,4,0.6427996781979083
28,5,0.6596942880128721
28,6,0.671761866452132
28,7,0.6548672566371682
28,8,0.6781979082864039
28,9,0.6878519710378117
28,10,0.6572807723250201
28,11,0.6588897827835881
28,12,0.6476267095736122
28,13,0.6942880128720836
28,14,0.6854384553499597
28,15,0.6918744971842317
29,0,0.6524537409493162
29,1,0.6508447304907482
29,2,0.6540627514078842
29,3,0.6572807723250201
29,4,0.674175382139984
29,5,0.668543845534996
29,6,0.6098149637972646
29,7,0.6347546259050684
29,8,0.6098149637972646
29,9,0.6452131938857603
29,10,0.7015285599356396
29,11,0.6814159292035398
29,12,0.6910699919549477
29,13,0.6975060337892196
29,14,0.6049879324215608
29,15,0.6444086886564763
30,0,0.6548672566371682
30,1,0.6291230893000804
30,2,0.6001609010458568
30,3,0.6202735317779565
30,4,0.6363636363636364
30,5,0.6106194690265486
30,6,0.6757843925985519
30,7,0.6878519710378117
30,8,0.671761866452132
30,9,0.66934835076428
30,10,0.6468222043443282
30,11,0.6355591311343524
30,12,0.6017699115044248
30,13,0.6194690265486725
30,14,0.6251005631536605
30,15,0.6178600160901045
31,0,0.6484312148028962
31,1,0.6476267095736122
31,2,0.671761866452132
31,3,0.670152855993564
31,4,0.6556717618664522
31,5,0.674979887369268
31,6,0.6637168141592921
31,7,0.6460176991150443
31,8,0.6186645213193885
31,9,0.6299275945293644
31,10,0.666130329847144
31,11,0.671761866452132
31,12,0.5945293644408689
31,13,0.6226870474658085
31,14,0.6041834271922768
31,15,0.5961383748994369
32,0,0.6315366049879324
32,1,0.6138374899436846
32,2,0.6275140788415124
32,3,0.6395816572807723
32,4,0.6355591311343524
32,5,0.5961383748994369
32,6,0.5905068382944489
32,7,0.6210780370072405
32,8,0.6395816572807723
32,9,0.6226870474658085
32,10,0.6516492357200322
32,11,0.6588897827835881
32,12,0.5961383748994369
32,13,0.581657280772325
32,14,0.5945293644408689
32,15,0.5744167337087691
33,0,0.6017699115044248
33,1,0.5728077232502011
33,2,0.6154465004022526
33,3,0.6146419951729686
33,4,0.6009654062751408
33,5,0.6194690265486725
33,6,0.6001609010458568
33,7,0.6226870474658085
33,8,0.6596942880128721
33,9,0.6613032984714401
33,10,0.5977473853580049
