layer,head,accuracy
0,0,0.5309734513274337
0,1,0.5261464199517297
0,2,0.5325824617860017
0,3,0.5285599356395817
0,4,0.5116653258246179
0,5,0.5076427996781979
0,6,0.5100563153660499
0,7,0.5084473049074819
0,8,0.5076427996781979
0,9,0.5092518101367659
0,10,0.5068382944489139
0,11,0.5140788415124699
0,12,0.5221238938053098
0,13,0.5261464199517297
0,14,0.5277554304102977
0,15,0.5261464199517297
0,16,0.5108608205953339
0,17,0.5116653258246179
0,18,0.5140788415124699
0,19,0.5132743362831859
0,20,0.5084473049074819
0,21,0.5277554304102977
0,22,0.5060337892196299
0,23,0.5084473049074819
0,24,0.502815768302494
0,25,0.5076427996781979
0,26,0.5068382944489139
0,27,0.5116653258246179
0,28,0.4915526950925181
0,29,0.49718423169750603
0,30,0.4899436846339501
0,31,0.49477071600965405
1,0,0.5510860820595334
1,1,0.5567176186645213
1,2,0.5422365245374094
1,3,0.5462590506838294
1,4,0.502815768302494
1,5,0.5205148833467418
1,6,0.505229283990346
1,7,0.5205148833467418
1,8,0.5269509251810137
1,9,0.5422365245374094
1,10,0.5583266291230893
1,11,0.5551086082059533
1,12,0.5172968624296058
1,13,0.5205148833467418
1,14,0.5382139983909895
1,15,0.5285599356395817
1,16,0.5245374094931617
1,17,0.5406275140788415
1,18,0.5341914722445696
1,19,0.5349959774738536
1,20,0.5446500402252614
1,21,0.5655671761866452
1,22,0.5116653258246179
1,23,0.5293644408688657
1,24,0.5237329042638778
1,25,0.5398230088495575
1,26,0.5253419147224457
1,27,0.5333869670152857
1,28,0.5374094931617055
1,29,0.5366049879324215
1,30,0.5269509251810137
1,31,0.5406275140788415
2,0,0.5406275140788415
2,1,0.5269509251810137
2,2,0.5237329042638778
2,3,0.5245374094931617
2,4,0.5510860820595334
2,5,0.5470635559131134
2,6,0.5615446500402252
2,7,0.5945293644408689
2,8,0.5277554304102977
2,9,0.5261464199517297
2,10,0.5197103781174578
2,11,0.5422365245374094
2,12,0.504424778761062
2,13,0.5422365245374094
2,14,0.5518905872888173
2,15,0.5406275140788415
2,16,0.5776347546259051
2,17,0.5543041029766693
2,18,0.5695897023330652
2,19,0.5430410297666934
2,20,0.5341914722445696
2,21,0.5237329042638778
2,22,0.5221238938053098
2,23,0.4915526950925181
2,24,0.500402252614642
2,25,0.5181013676588898
2,26,0.49798873692679
2,27,0.5390185036202735
2,28,0.5349959774738536
2,29,0.5414320193081255
2,30,0.5229283990345938
2,31,0.5462590506838294
3,0,0.5977473853580049
