layer,head,accuracy
0,0,0.5172968624296058
0,1,0.5076427996781979
0,2,0.5205148833467418
0,3,0.501206757843926
0,4,0.50201126307321
0,5,0.505229283990346
0,6,0.5301689460981497
0,7,0.5084473049074819
0,8,0.5285599356395817
0,9,0.4682220434432824
0,10,0.505229283990346
0,11,0.5261464199517297
0,12,0.5341914722445696
0,13,0.5349959774738536
0,14,0.5148833467417538
0,15,0.5108608205953339
0,16,0.5060337892196299
0,17,0.500402252614642
0,18,0.500402252614642
0,19,0.504424778761062
0,20,0.5156878519710378
0,21,0.5197103781174578
0,22,0.502815768302494
0,23,0.5213193885760258
0,24,0.5132743362831859
0,25,0.5205148833467418
0,26,0.5092518101367659
0,27,0.4907481898632341
0,28,0.49637972646822204
0,29,0.49718423169750603
0,30,0.48511665325824616
0,31,0.49316170555108607
1,0,0.5261464199517297
1,1,0.5269509251810137
1,2,0.5293644408688657
1,3,0.5189058728881738
1,4,0.5221238938053098
1,5,0.5060337892196299
1,6,0.5253419147224457
1,7,0.48189863234111024
1,8,0.4827031375703942
1,9,0.5269509251810137
1,10,0.5486725663716814
1,11,0.5768302493966211
1,12,0.4915526950925181
1,13,0.49396621078037006
1,14,0.5092518101367659
1,15,0.5132743362831859
1,16,0.5253419147224457
1,17,0.5293644408688657
1,18,0.5261464199517297
1,19,0.504424778761062
1,20,0.5551086082059533
1,21,0.5526950925181013
1,22,0.504424778761062
1,23,0.5124698310539019
1,24,0.5261464199517297
1,25,0.5358004827031375
1,26,0.4883346741753821
1,27,0.5221238938053098
1,28,0.499597747385358
1,29,0.49477071600965405
1,30,0.5269509251810137
1,31,0.5084473049074819
2,0,0.500402252614642
2,1,0.5068382944489139
2,2,0.5181013676588898
2,3,0.5205148833467418
2,4,0.505229283990346
2,5,0.5760257441673371
2,6,0.5575221238938053
2,7,0.6114239742558326
2,8,0.5140788415124699
2,9,0.48511665325824616
2,10,0.5068382944489139
2,11,0.5213193885760258
2,12,0.5333869670152857
2,13,0.5591311343523733
2,14,0.5518905872888173
2,15,0.5607401448109413
2,16,0.5534995977473853
2,17,0.5631536604987932
2,18,0.5454545454545454
2,19,0.5438455349959774
2,20,0.503620273531778
2,21,0.5108608205953339
2,22,0.5261464199517297
2,23,0.4923572003218021
2,24,0.5382139983909895
2,25,0.4891391794046661
2,26,0.4835076427996782
2,27,0.5181013676588898
2,28,0.5269509251810137
2,29,0.500402252614642
2,30,0.4907481898632341
2,31,0.5261464199517297
3,0,0.5711987127916331
3,1,0.5679806918744972
3,2,0.5567176186645213
3,3,0.5575221238938053
3,4,0.5663716814159292
3,5,0.5382139983909895
3,6,0.5711987127916331
3,7,0.5784392598551891
3,8,0.5124698310539019
3,9,0.5261464199517297
3,10,0.5486725663716814
3,11,0.5615446500402252
3,12,0.5414320193081255
3,13,0.5510860820595334
3,14,0.5502815768302494
3,15,0.6041834271922768
3,16,0.6323411102172164
3,17,0.6484312148028962
3,18,0.6347546259050684
3,19,0.6251005631536605
3,20,0.5559131134352373
3,21,0.580048270313757
3,22,0.5623491552695092
3,23,0.583266291230893
3,24,0.5607401448109413
3,25,0.5470635559131134
3,26,0.5293644408688657
3,27,0.5317779565567177
3,28,0.5744167337087691
3,29,0.6275140788415124
3,30,0.6403861625100563
3,31,0.5655671761866452
4,0,0.6476267095736122
4,1,0.6492357200321802
4,2,0.672566371681416
4,3,0.6090104585679806
4,4,0.5752212389380531
4,5,0.6090104585679806
4,6,0.5679806918744972
4,7,0.6090104585679806
4,8,0.5977473853580049
4,9,0.6460176991150443
4,10,0.6114239742558326
4,11,0.6283185840707964
4,12,0.7119871279163315
4,13,0.7087691069991955
4,14,0.6910699919549477
4,15,0.6484312148028962
4,16,0.6468222043443282
4,17,0.5695897023330652
4,18,0.6114239742558326
4,19,0.6033789219629928
4,20,0.5736122284794851
4,21,0.581657280772325
4,22,0.5752212389380531
4,23,0.6162510056315366
4,24,0.6202735317779565
4,25,0.5929203539823009
4,26,0.6186645213193885
4,27,0.5237329042638778
4,28,0.6098149637972646
4,29,0.6170555108608206
4,30,0.6259050683829445
4,31,0.6194690265486725
5,0,0.5905068382944489
5,1,0.6339501206757844
5,2,0.5599356395816573
5,3,0.5631536604987932
5,4,0.6307320997586484
5,5,0.6926790024135157
5,6,0.6516492357200322
5,7,0.6363636363636364
5,8,0.7039420756234915
5,9,0.6886564762670957
5,10,0.6975060337892196
5,11,0.7055510860820595
5,12,0.6049879324215608
5,13,0.6765888978278359
5,14,0.7337087691069992
5,15,0.6411906677393403
5,16,0.672566371681416
5,17,0.6242960579243765
5,18,0.6540627514078842
5,19,0.6468222043443282
5,20,0.6411906677393403
5,21,0.6138374899436846
5,22,0.6427996781979083
5,23,0.6444086886564763
5,24,0.6870474658085277
5,25,0.6130329847144006
5,26,0.6234915526950925
5,27,0.6411906677393403
5,28,0.6411906677393403
5,29,0.6001609010458568
5,30,0.584070796460177
5,31,0.6757843925985519
6,0,0.6621078037007241
6,1,0.586484312148029
6,2,0.7264682220434433
6,3,0.7248592115848753
6,4,0.6234915526950925
6,5,0.6476267095736122
6,6,0.6226870474658085
6,7,0.6291230893000804
6,8,0.6902654867256637
6,9,0.584070796460177
6,10,0.5961383748994369
6,11,0.6580852775543041
6,12,0.6999195494770716
6,13,0.6958970233306516
6,14,0.6460176991150443
6,15,0.7570394207562349
6,16,0.6331456154465004
6,17,0.6403861625100563
6,18,0.7015285599356396
6,19,0.6033789219629928
6,20,0.6950925181013676
6,21,0.7329042638777152
6,22,0.7449718423169751
6,23,0.7312952534191473
6,24,0.6323411102172164
6,25,0.6387771520514883
6,26,0.666130329847144
6,27,0.6604987932421561
6,28,0.7119871279163315
6,29,0.7369267900241352
6,30,0.6387771520514883
6,31,0.7248592115848753
7,0,0.7642799678197908
7,1,0.7650844730490748
7,2,0.6629123089300081
7,3,0.7530168946098149
7,4,0.7489943684633951
7,5,0.7811745776347546
7,6,0.6975060337892196
7,7,0.7071600965406275
7,8,0.7272727272727273
7,9,0.6162510056315366
7,10,0.6395816572807723
7,11,0.7280772325020113
7,12,0.6757843925985519
7,13,0.66934835076428
7,14,0.7497988736926791
7,15,0.6926790024135157
7,16,0.6588897827835881
7,17,0.6822204344328238
7,18,0.6999195494770716
7,19,0.6218825422365245
7,20,0.7932421560740145
7,21,0.7787610619469026
7,22,0.7811745776347546
7,23,0.7779565567176187
7,24,0.7666934835076428
7,25,0.7409493161705552
7,26,0.6267095736122285
