layer,head,accuracy
0,0,0.5116653258246179
0,1,0.5148833467417538
0,2,0.4907481898632341
0,3,0.4891391794046661
0,4,0.5172968624296058
0,5,0.5181013676588898
0,6,0.5172968624296058
0,7,0.5116653258246179
0,8,0.5181013676588898
0,9,0.498793242156074
0,10,0.501206757843926
0,11,0.47948511665325827
0,12,0.498793242156074
0,13,0.5108608205953339
0,14,0.5068382944489139
0,15,0.5197103781174578
0,16,0.4923572003218021
0,17,0.49477071600965405
0,18,0.49316170555108607
0,19,0.48753016894609813
0,20,0.5124698310539019
0,21,0.5076427996781979
0,22,0.5181013676588898
0,23,0.5325824617860017
0,24,0.5068382944489139
0,25,0.48511665325824616
0,26,0.4915526950925181
0,27,0.49637972646822204
0,28,0.5325824617860017
0,29,0.4899436846339501
0,30,0.49477071600965405
0,31,0.5076427996781979
1,0,0.503620273531778
1,1,0.499597747385358
1,2,0.4899436846339501
1,3,0.49798873692679
1,4,0.5100563153660499
1,5,0.503620273531778
1,6,0.49316170555108607
1,7,0.5213193885760258
1,8,0.498793242156074
1,9,0.49798873692679
1,10,0.5108608205953339
1,11,0.5164923572003218
1,12,0.505229283990346
1,13,0.5084473049074819
1,14,0.4770716009654063
1,15,0.5197103781174578
1,16,0.48592115848753015
1,17,0.4923572003218021
1,18,0.46178600160901045
1,19,0.48672566371681414
1,20,0.46419951729686243
1,21,0.47063555913113436
1,22,0.499597747385358
1,23,0.48672566371681414
1,24,0.5092518101367659
1,25,0.5189058728881738
1,26,0.5148833467417538
1,27,0.500402252614642
1,28,0.4891391794046661
1,29,0.49477071600965405
1,30,0.501206757843926
1,31,0.5092518101367659
2,0,0.5156878519710378
2,1,0.5317779565567177
2,2,0.5221238938053098
2,3,0.5301689460981497
2,4,0.5076427996781979
2,5,0.4770716009654063
2,6,0.4915526950925181
2,7,0.4915526950925181
2,8,0.5084473049074819
2,9,0.5132743362831859
2,10,0.5229283990345938
2,11,0.5068382944489139
2,12,0.5470635559131134
2,13,0.5092518101367659
2,14,0.5116653258246179
2,15,0.5277554304102977
2,16,0.5237329042638778
2,17,0.501206757843926
2,18,0.48592115848753015
2,19,0.4907481898632341
2,20,0.5245374094931617
2,21,0.5261464199517297
2,22,0.5205148833467418
2,23,0.5100563153660499
2,24,0.5164923572003218
2,25,0.49718423169750603
2,26,0.5084473049074819
2,27,0.49798873692679
2,28,0.5261464199517297
2,29,0.5156878519710378
2,30,0.49718423169750603
2,31,0.5189058728881738
3,0,0.5068382944489139
3,1,0.503620273531778
3,2,0.5116653258246179
3,3,0.5068382944489139
3,4,0.48028962188254226
3,5,0.499597747385358
3,6,0.49637972646822204
3,7,0.5181013676588898
3,8,0.48028962188254226
3,9,0.5092518101367659
3,10,0.49557522123893805
3,11,0.499597747385358
3,12,0.5060337892196299
3,13,0.5100563153660499
3,14,0.48109412711182625
3,15,0.49637972646822204
3,16,0.5060337892196299
3,17,0.49557522123893805
3,18,0.5068382944489139
3,19,0.5189058728881738
3,20,0.5197103781174578
3,21,0.5293644408688657
3,22,0.5205148833467418
3,23,0.5108608205953339
3,24,0.503620273531778
3,25,0.5092518101367659
3,26,0.5205148833467418
3,27,0.49798873692679
3,28,0.49557522123893805
3,29,0.5084473049074819
3,30,0.49316170555108607
3,31,0.49637972646822204
4,0,0.5068382944489139
4,1,0.502815768302494
4,2,0.502815768302494
4,3,0.5124698310539019
4,4,0.5068382944489139
4,5,0.5245374094931617
4,6,0.5108608205953339
4,7,0.5100563153660499
4,8,0.5430410297666934
4,9,0.5156878519710378
4,10,0.5229283990345938
4,11,0.505229283990346
4,12,0.5261464199517297
4,13,0.5237329042638778
4,14,0.5092518101367659
4,15,0.5100563153660499
4,16,0.5221238938053098
4,17,0.5237329042638778
4,18,0.5221238938053098
4,19,0.5438455349959774
4,20,0.49477071600965405
4,21,0.5084473049074819
4,22,0.5245374094931617
4,23,0.5156878519710378
4,24,0.5076427996781979
4,25,0.5092518101367659
4,26,0.5181013676588898
4,27,0.502815768302494
4,28,0.5124698310539019
4,29,0.5205148833467418
4,30,0.5124698310539019
4,31,0.49396621078037006
5,0,0.5181013676588898
5,1,0.5221238938053098
5,2,0.5140788415124699
5,3,0.5148833467417538
5,4,0.5229283990345938
5,5,0.5301689460981497
5,6,0.49637972646822204
5,7,0.5116653258246179
5,8,0.5181013676588898
5,9,0.5181013676588898
5,10,0.5108608205953339
5,11,0.5229283990345938
5,12,0.5229283990345938
5,13,0.5349959774738536
5,14,0.499597747385358
5,15,0.5108608205953339
5,16,0.5221238938053098
5,17,0.5382139983909895
5,18,0.5116653258246179
5,19,0.5374094931617055
5,20,0.5092518101367659
5,21,0.5164923572003218
5,22,0.5205148833467418
5,23,0.5068382944489139
5,24,0.48592115848753015
5,25,0.5189058728881738
5,26,0.4891391794046661
5,27,0.5164923572003218
5,28,0.50201126307321
5,29,0.48753016894609813
5,30,0.502815768302494
5,31,0.50201126307321
6,0,0.5422365245374094
6,1,0.5245374094931617
6,2,0.5366049879324215
6,3,0.5213193885760258
6,4,0.5277554304102977
6,5,0.5245374094931617
6,6,0.5092518101367659
6,7,0.5277554304102977
6,8,0.5591311343523733
6,9,0.5341914722445696
6,10,0.5486725663716814
6,11,0.5382139983909895
6,12,0.5213193885760258
6,13,0.5213193885760258
6,14,0.5084473049074819
6,15,0.5100563153660499
6,16,0.5309734513274337
6,17,0.5309734513274337
6,18,0.5213193885760258
6,19,0.5156878519710378
6,20,0.5374094931617055
6,21,0.5221238938053098
6,22,0.5301689460981497
6,23,0.5140788415124699
6,24,0.5317779565567177
6,25,0.5406275140788415
6,26,0.5510860820595334
6,27,0.5462590506838294
6,28,0.5277554304102977
6,29,0.5205148833467418
6,30,0.5213193885760258
6,31,0.5390185036202735
7,0,0.5478680611423974
7,1,0.5390185036202735
7,2,0.5237329042638778
7,3,0.5285599356395817
7,4,0.5430410297666934
7,5,0.5237329042638778
7,6,0.5366049879324215
7,7,0.5253419147224457
7,8,0.5229283990345938
7,9,0.5462590506838294
7,10,0.5486725663716814
7,11,0.5422365245374094
7,12,0.5422365245374094
7,13,0.5245374094931617
7,14,0.5382139983909895
7,15,0.5293644408688657
7,16,0.5172968624296058
7,17,0.5317779565567177
7,18,0.5229283990345938
7,19,0.5358004827031375
7,20,0.5462590506838294
7,21,0.504424778761062
7,22,0.5510860820595334
7,23,0.5486725663716814
7,24,0.5494770716009654
7,25,0.5382139983909895
7,26,0.5309734513274337
7,27,0.5333869670152857
7,28,0.5736122284794851
7,29,0.5510860820595334
7,30,0.5583266291230893
7,31,0.5551086082059533
8,0,0.5390185036202735
8,1,0.5358004827031375
8,2,0.5301689460981497
8,3,0.5358004827031375
8,4,0.5172968624296058
8,5,0.5181013676588898
8,6,0.5414320193081255
8,7,0.5253419147224457
8,8,0.580048270313757
8,9,0.5711987127916331
8,10,0.5760257441673371
8,11,0.5631536604987932
8,12,0.5092518101367659
8,13,0.5237329042638778
8,14,0.5084473049074819
8,15,0.5156878519710378
8,16,0.5358004827031375
8,17,0.5366049879324215
8,18,0.5406275140788415
8,19,0.5430410297666934
8,20,0.5140788415124699
8,21,0.5132743362831859
8,22,0.5309734513274337
8,23,0.5181013676588898
8,24,0.5937248592115849
8,25,0.581657280772325
8,26,0.5623491552695092
8,27,0.5695897023330652
8,28,0.5349959774738536
8,29,0.5494770716009654
8,30,0.5164923572003218
8,31,0.5277554304102977
9,0,0.5703942075623492
9,1,0.5744167337087691
9,2,0.5937248592115849
9,3,0.586484312148029
9,4,0.48753016894609813
9,5,0.5060337892196299
9,6,0.5084473049074819
9,7,0.5172968624296058
9,8,0.5430410297666934
9,9,0.581657280772325
9,10,0.587288817377313
9,11,0.582461786001609
9,12,0.5430410297666934
9,13,0.5575221238938053
9,14,0.5454545454545454
9,15,0.5599356395816573
9,16,0.5494770716009654
9,17,0.5768302493966211
9,18,0.583266291230893
9,19,0.5575221238938053
9,20,0.5510860820595334
9,21,0.5486725663716814
9,22,0.5551086082059533
9,23,0.5736122284794851
9,24,0.5325824617860017
9,25,0.5374094931617055
9,26,0.5671761866452132
9,27,0.5518905872888173
9,28,0.5414320193081255
9,29,0.5422365245374094
9,30,0.5301689460981497
9,31,0.5317779565567177
10,0,0.5953338696701529
10,1,0.5736122284794851
10,2,0.586484312148029
10,3,0.5655671761866452
10,4,0.5454545454545454
10,5,0.5382139983909895
10,6,0.5502815768302494
10,7,0.5140788415124699
10,8,0.5776347546259051
10,9,0.5768302493966211
10,10,0.5703942075623492
10,11,0.5607401448109413
10,12,0.5599356395816573
10,13,0.5969428801287209
10,14,0.5623491552695092
10,15,0.584070796460177
10,16,0.5671761866452132
10,17,0.5695897023330652
10,18,0.581657280772325
10,19,0.5583266291230893
10,20,0.5382139983909895
10,21,0.5245374094931617
10,22,0.5494770716009654
10,23,0.5366049879324215
10,24,0.5502815768302494
10,25,0.5728077232502011
10,26,0.5341914722445696
10,27,0.5414320193081255
10,28,0.5744167337087691
10,29,0.6082059533386966
10,30,0.581657280772325
10,31,0.5985518905872889
11,0,0.6138374899436846
11,1,0.589702333065165
11,2,0.5921158487530169
11,3,0.6339501206757844
