layer,head,accuracy
0,0,0.5309734513274337
0,1,0.5309734513274337
0,2,0.5068382944489139
0,3,0.504424778761062
0,4,0.500402252614642
0,5,0.5076427996781979
0,6,0.5108608205953339
0,7,0.5084473049074819
0,8,0.5229283990345938
0,9,0.5414320193081255
0,10,0.5277554304102977
0,11,0.5205148833467418
0,12,0.5132743362831859
0,13,0.5358004827031375
0,14,0.5068382944489139
0,15,0.5245374094931617
0,16,0.4778761061946903
0,17,0.5068382944489139
0,18,0.4891391794046661
0,19,0.48189863234111024
0,20,0.5124698310539019
0,21,0.48431214802896216
0,22,0.502815768302494
0,23,0.5156878519710378
0,24,0.4899436846339501
0,25,0.504424778761062
0,26,0.49718423169750603
0,27,0.49718423169750603
0,28,0.5172968624296058
0,29,0.501206757843926
0,30,0.49477071600965405
0,31,0.49637972646822204
1,0,0.503620273531778
1,1,0.5189058728881738
1,2,0.5068382944489139
1,3,0.5092518101367659
1,4,0.5076427996781979
1,5,0.5261464199517297
1,6,0.5285599356395817
1,7,0.5293644408688657
1,8,0.49637972646822204
1,9,0.5301689460981497
1,10,0.499597747385358
1,11,0.5092518101367659
1,12,0.5116653258246179
1,13,0.47224456958970235
1,14,0.49637972646822204
1,15,0.5148833467417538
1,16,0.48189863234111024
1,17,0.501206757843926
1,18,0.47948511665325827
1,19,0.47224456958970235
1,20,0.48109412711182625
1,21,0.5197103781174578
1,22,0.499597747385358
1,23,0.5084473049074819
1,24,0.5197103781174578
1,25,0.500402252614642
1,26,0.5205148833467418
1,27,0.5084473049074819
1,28,0.4907481898632341
1,29,0.5245374094931617
1,30,0.5148833467417538
1,31,0.5076427996781979
2,0,0.5398230088495575
2,1,0.5197103781174578
2,2,0.5068382944489139
2,3,0.5285599356395817
2,4,0.47304907481898634
2,5,0.504424778761062
2,6,0.499597747385358
2,7,0.503620273531778
2,8,0.5084473049074819
2,9,0.49477071600965405
2,10,0.498793242156074
2,11,0.4891391794046661
2,12,0.5245374094931617
2,13,0.5229283990345938
2,14,0.49477071600965405
2,15,0.5269509251810137
2,16,0.5092518101367659
2,17,0.49396621078037006
2,18,0.49557522123893805
2,19,0.5092518101367659
2,20,0.5261464199517297
2,21,0.5349959774738536
2,22,0.5261464199517297
2,23,0.5341914722445696
2,24,0.5181013676588898
2,25,0.5285599356395817
2,26,0.5181013676588898
2,27,0.501206757843926
2,28,0.5108608205953339
2,29,0.49557522123893805
2,30,0.5213193885760258
2,31,0.5108608205953339
3,0,0.5116653258246179
3,1,0.5076427996781979
3,2,0.5333869670152857
3,3,0.50201126307321
3,4,0.5124698310539019
3,5,0.5156878519710378
3,6,0.5398230088495575
3,7,0.5285599356395817
3,8,0.5108608205953339
3,9,0.504424778761062
3,10,0.5084473049074819
3,11,0.5084473049074819
3,12,0.48511665325824616
3,13,0.50201126307321
3,14,0.5076427996781979
3,15,0.501206757843926
3,16,0.5213193885760258
3,17,0.5261464199517297
3,18,0.5213193885760258
3,19,0.5205148833467418
3,20,0.5526950925181013
3,21,0.5221238938053098
3,22,0.5349959774738536
3,23,0.5164923572003218
3,24,0.500402252614642
3,25,0.5140788415124699
3,26,0.5253419147224457
3,27,0.5108608205953339
3,28,0.499597747385358
3,29,0.502815768302494
3,30,0.505229283990346
3,31,0.5309734513274337
4,0,0.49637972646822204
4,1,0.49718423169750603
4,2,0.49637972646822204
4,3,0.5068382944489139
4,4,0.5076427996781979
4,5,0.49798873692679
4,6,0.5205148833467418
4,7,0.50201126307321
4,8,0.5406275140788415
4,9,0.5575221238938053
4,10,0.5366049879324215
4,11,0.5213193885760258
4,12,0.5277554304102977
4,13,0.5156878519710378
4,14,0.5221238938053098
4,15,0.5309734513274337
4,16,0.502815768302494
4,17,0.5172968624296058
4,18,0.5076427996781979
4,19,0.5293644408688657
4,20,0.5213193885760258
4,21,0.503620273531778
4,22,0.5156878519710378
4,23,0.5132743362831859
4,24,0.5116653258246179
4,25,0.5293644408688657
4,26,0.5406275140788415
4,27,0.5366049879324215
4,28,0.5132743362831859
4,29,0.5164923572003218
4,30,0.5253419147224457
4,31,0.5140788415124699
5,0,0.5414320193081255
5,1,0.5422365245374094
5,2,0.5607401448109413
5,3,0.5422365245374094
5,4,0.5567176186645213
5,5,0.5567176186645213
5,6,0.5615446500402252
5,7,0.5406275140788415
5,8,0.5599356395816573
5,9,0.5422365245374094
5,10,0.5534995977473853
5,11,0.5655671761866452
5,12,0.5156878519710378
5,13,0.5100563153660499
5,14,0.49798873692679
5,15,0.498793242156074
5,16,0.5374094931617055
5,17,0.5567176186645213
5,18,0.5317779565567177
5,19,0.5406275140788415
5,20,0.5253419147224457
5,21,0.5382139983909895
5,22,0.5221238938053098
5,23,0.5349959774738536
5,24,0.5172968624296058
5,25,0.5237329042638778
5,26,0.5189058728881738
5,27,0.504424778761062
5,28,0.5494770716009654
5,29,0.5245374094931617
5,30,0.5583266291230893
5,31,0.5349959774738536
6,0,0.581657280772325
6,1,0.5583266291230893
6,2,0.5760257441673371
6,3,0.5647626709573612
6,4,0.5438455349959774
6,5,0.5293644408688657
6,6,0.5269509251810137
6,7,0.5156878519710378
6,8,0.5776347546259051
6,9,0.5784392598551891
6,10,0.584875301689461
6,11,0.5720032180209171
6,12,0.5526950925181013
6,13,0.5285599356395817
6,14,0.5301689460981497
6,15,0.5213193885760258
6,16,0.5197103781174578
6,17,0.5358004827031375
6,18,0.5446500402252614
6,19,0.5349959774738536
6,20,0.5510860820595334
6,21,0.5470635559131134
6,22,0.5358004827031375
6,23,0.5333869670152857
6,24,0.583266291230893
6,25,0.5615446500402252
6,26,0.5382139983909895
6,27,0.580852775543041
6,28,0.5470635559131134
6,29,0.5494770716009654
6,30,0.5518905872888173
6,31,0.5776347546259051
7,0,0.5776347546259051
7,1,0.6138374899436846
7,2,0.5969428801287209
7,3,0.5937248592115849
7,4,0.5671761866452132
7,5,0.5583266291230893
7,6,0.584875301689461
7,7,0.5703942075623492
7,8,0.585679806918745
